sample_number,conversation_id,customer_tweet,agent_reply,suggested_intent,true_intent,is_customer,created_at
15,twcs_10774,@SpotifyCares Spotify keeps crashing on macOS Sonoma upon launch. Crash log generated #CR-9921.,@user_spot_388_565 Hi! Let's do a clean reinstall to resolve crashing. Follow the step-by-step guide here: https://spoti.fi/reinstall -Daniel,Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-05T02:33:00
16,twcs_11890,@SpotifyCares Please add a native Sleep Timer feature to the Windows 11 desktop application.,"@user_spot_946_838 Hello! Go to the artist's profile, tap the three dots (···) and select 'Don't play this artist' to block them. -Ryan",Product Feature Requests & UI Enhancements,Product Feature Requests & UI Enhancements,True,2017-11-10T12:49:00
17,twcs_10411,@SpotifyCares What is the maximum download limit of songs allowed per device on Premium?,"@user_spotify_408 Hello! You can download up to 10,000 songs per device on up to 5 different authorized devices.",Family & Student Plan Eligibility & Verification,Offline Playlists & Download Storage Management,True,2017-11-11T09:30:00
18,twcs_12120,@SpotifyCares When is Spotify HiFi 24-bit lossless streaming audio going to be released?,"@user_spot_1061_205 Hello! Go to the artist's profile, tap the three dots (···) and select 'Don't play this artist' to block them. -Sarah",Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-11T15:37:00
19,twcs_10636,@SpotifyCares App hangs and becomes unresponsive when opening the Equalizer menu on iPad Air.,@user_spot_319_167 Hey! Try disabling hardware acceleration in the Spotify Desktop menu (File/Edit > Hardware Acceleration) and restart. -Carlos,"App Stability, OS Freezes & Crash Reports","App Stability, OS Freezes & Crash Reports",True,2017-11-04T10:32:00
20,twcs_11540,@SpotifyCares Offline songs taking up 60GB of storage even after deleting downloaded albums from library.,"@user_spot_771_719 Hi! Premium allows downloading up to 10,000 tracks per device on up to 5 different devices! -Ryan",Offline Playlists & Download Storage Management,Offline Playlists & Download Storage Management,True,2017-11-08T19:59:00
21,twcs_10724,@SpotifyCares Infinite loading spinner when trying to search for songs or artist profiles on Android 14.,"@user_spot_363_401 Hey! Send us a DM with your device model, OS version, and Spotify app version so our tech team can investigate: https://spoti.fi/dm -Zoe",Smart Speaker & External Device Connectivity,"App Stability, OS Freezes & Crash Reports",True,2017-11-04T20:50:00
22,twcs_11660,@SpotifyCares Spotify Kids app parental controls PIN code was forgotten. How do I reset parent PIN?,"@user_spot_831_764 Hey! As the plan owner, go to spotify.com/account > Family > Manage, click on the member, and select 'Remove'. -Emma",Smart Speaker & External Device Connectivity,"App Stability, OS Freezes & Crash Reports",True,2017-11-09T10:03:00
23,twcs_10960,@SpotifyCares Voice commands on Siri voice control only play 30-second previews instead of full songs on Premium.,@user_spot_481_753 Hi there! Check our smart watch setup guide here: https://spoti.fi/wearables to ensure proper offline sync setup. -Chloe,Family & Student Plan Eligibility & Verification,Offline Playlists & Download Storage Management,True,2017-11-06T00:15:00
24,twcs_10027,@SpotifyCares How do I invite members to my Spotify Duo plan?,"@user_spotify_14 Hi! Go to your Duo account page at spotify.com/duo, click 'Invite member', and share the link with your partner living at the same address.",Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-05T10:15:00
25,twcs_10474,@SpotifyCares Crossfade transition between songs causes a 2-second loud audio buzz artifact on Android 12.,@user_spot_238_771 Hi! Podcasts use dynamic audio leveling. You can adjust Equalizer presets under Playback settings to balance output. -Chloe,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-03T15:34:00
26,twcs_11552,@SpotifyCares Songs downloaded on Premium won't play offline unless I reconnect to internet once every 30 days.,@user_spot_777_141 Hi! Make sure both devices are connected to the exact same WiFi network and Local Files are enabled in Settings. -Zoe,Offline Playlists & Download Storage Management,Offline Playlists & Download Storage Management,True,2017-11-08T21:28:00
27,twcs_11214,@SpotifyCares Can I merge two Spotify accounts (sam_music and emily_sound) into one without losing my playlists?,@user_spot_608_589 Hello! Temporary lockouts reset automatically after 30 minutes. You can also reset your password at spotify.com/password-reset. -Emma,Family & Student Plan Eligibility & Verification,"Account Login, Password & Security Access",True,2017-11-07T06:01:00
28,twcs_10458,@SpotifyCares Getting playback error code 'Spotify can't play this right now' on macOS Ventura.,@user_spot_230_822 Hey! Check your streaming quality under Settings > Audio Quality. Toggle 'Download using cellular' if streaming offline tracks. -Daniel,"App Stability, OS Freezes & Crash Reports",Offline Playlists & Download Storage Management,True,2017-11-03T13:44:00
29,twcs_10702,@SpotifyCares macOS Monterey app displays a blank completely black screen after login and won't load UI.,@user_spot_352_729 Hi! Disable 'Canvas' looping visuals under Settings > Playback to reduce background battery and CPU consumption. -Kevin,"App Stability, OS Freezes & Crash Reports","Account Login, Password & Security Access",True,2017-11-04T18:08:00
30,twcs_11200,@SpotifyCares I didn't receive the verification email to confirm my new email change request.,@user_spot_601_234 Hi! Send us a DM with your account's email and invoice details right away so we can secure your profile: https://spoti.fi/dm -Carlos,Product Feature Requests & UI Enhancements,"Billing, Subscriptions & Refund Inquiries",True,2017-11-07T04:16:00
31,twcs_10200,@SpotifyCares Why was my premium subscription charged in USD instead of my local currency?,@user_spot_101_934 Hi! Your billing currency is tied to your account country settings. DM us your account username to update your country! -Daniel,Audio Streaming Quality & Playback Errors,"Billing, Subscriptions & Refund Inquiries",True,2017-11-02T07:34:00
32,twcs_11378,@SpotifyCares Playlist download toggle gets stuck spinning at 'Waiting to download... (0 of 500 songs)'.,"@user_spot_690_564 Hi! Premium allows downloading up to 10,000 tracks per device on up to 5 different devices! -Kevin",Smart Speaker & External Device Connectivity,Offline Playlists & Download Storage Management,True,2017-11-08T01:03:00
33,twcs_10218,@SpotifyCares I updated my credit card details but my account is still showing payment past due and downgraded to Free.,@user_spot_110_448 Hi! Make sure your account region matches the country where the gift card was purchased. DM us the card receipt for help! -Sarah,"Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-02T09:43:00
34,twcs_11292,@SpotifyCares Spotify says my account was disabled due to suspicious activity. How do I verify my identity?,@user_spot_647_760 Hey! You can change your email anytime directly under your Account overview at spotify.com/account. -Zoe,Family & Student Plan Eligibility & Verification,Product Feature Requests & UI Enhancements,True,2017-11-07T15:07:00
35,twcs_11230,"@SpotifyCares Cannot sign in using Facebook login button, getting 'OAuth error 400 invalid credentials'.","@user_spot_616_420 Hey! Try disconnecting and reconnecting Facebook under spotify.com/account > Apps, or reset your password using your email. -Maya","App Stability, OS Freezes & Crash Reports","Account Login, Password & Security Access",True,2017-11-07T07:54:00
36,twcs_10904,@SpotifyCares Spotify Connect switches output playback to my Sonos One randomly when I come home.,"@user_spot_453_584 Hey! Send us a DM with your speaker brand, router model, and Spotify app version so we can assist: https://spoti.fi/dm -Chloe",Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-05T17:45:00
37,twcs_1,@SpotifyCares audio glitch,@cust1 restart app,Audio Streaming Quality & Playback Errors,"App Stability, OS Freezes & Crash Reports",True,2017-10-31T20:00:00
38,twcs_11702,@SpotifyCares SheerID says my student document was rejected because my name on document doesn't match account name.,"@user_spot_852_351 Hello! All your saved music, playlists, and listening history remain intact when switching plans! -Carlos","Account Login, Password & Security Access",Family & Student Plan Eligibility & Verification,True,2017-11-09T14:54:00
39,twcs_12018,@SpotifyCares How do I change my public username or display name on my Spotify artist/user profile?,@user_spot_1010_232 Hey! Send us a DM if your Daily Mix or Discover Weekly playlists are stuck so we can refresh your cache! -Maya,Family & Student Plan Eligibility & Verification,Product Feature Requests & UI Enhancements,True,2017-11-11T03:42:00
40,twcs_10332,@SpotifyCares Music volume is extremely quiet compared to YouTube and Apple Music on max volume on Pixel 7 Pro.,@user_spot_167_271 Hey! Turn off 'Auto adjust quality' in Audio Quality settings so it doesn't downgrade on variable connection speeds. -Daniel,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-02T23:05:00
41,twcs_11372,@SpotifyCares I accidentally deleted my favorite playlist with 800 songs! Can I recover it?,@user_spot_687_161 Hey! Send us a DM with your device model and app version if offline sync continues to fail: https://spoti.fi/dm -Daniel,Product Feature Requests & UI Enhancements,Offline Playlists & Download Storage Management,True,2017-11-08T00:27:00
42,twcs_10144,@SpotifyCares Payment failed when renewing with Visa debit card. Bank says transaction was blocked by merchant.,@user_spot_73_971 Hello! We'd be happy to investigate this. Send us a private DM with your registered email and we'll check your billing status: https://spoti.fi/dm -Elena,"Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-02T01:09:00
43,twcs_12082,@SpotifyCares How can I block a specific artist from playing on my Discover Weekly and Release Radar?,@user_spot_1042_299 Hello! You can update your display name anytime from your profile page in the mobile or desktop app settings. -Maya,Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-11T11:08:00
44,twcs_11022,@SpotifyCares Is there an official Spotify app for Apple Watch Series 7 with offline playback?,"@user_spot_512_110 Hi! Power cycle your router and speakers, and make sure both your phone and speakers are on the same 2.4GHz/5GHz WiFi band. -Carlos",Offline Playlists & Download Storage Management,Smart Speaker & External Device Connectivity,True,2017-11-06T07:30:00
45,twcs_11302,@SpotifyCares Someone in another country accessed my account and changed my playlist names. I think I got hacked!,@user_spot_652_804 Hello! DM us your registered email and phone number and we'll help verify your 2FA authentication settings. -Zoe,Product Feature Requests & UI Enhancements,"Account Login, Password & Security Access",True,2017-11-07T16:14:00
46,twcs_10608,@SpotifyCares Infinite loading spinner when trying to search for songs or artist profiles on iOS 17.,@user_spot_305_929 Hey! Try disabling hardware acceleration in the Spotify Desktop menu (File/Edit > Hardware Acceleration) and restart. -Liam,Smart Speaker & External Device Connectivity,"App Stability, OS Freezes & Crash Reports",True,2017-11-04T07:13:00
47,twcs_10106,@SpotifyCares Cancelled my subscription last week but still got billed $12.99 today. Please check invoice #INV-3304.,@user_spot_54_805 Hi! Your billing currency is tied to your account country settings. DM us your account username to update your country! -Maya,"Account Login, Password & Security Access","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T20:38:00
48,twcs_10008,@SpotifyCares Billed twice on Google Play billing and Credit Card subscriptions simultaneously for the same account.,@user_spot_5_182 Hey! Send us a DM with both transaction IDs so we can cancel the redundant third-party billing and process a refund. -Kevin,"Account Login, Password & Security Access","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T09:12:00
49,twcs_10754,@SpotifyCares Android Auto screen freezes completely when opening Spotify playlists while driving.,@user_spot_378_641 Hey! Try disabling hardware acceleration in the Spotify Desktop menu (File/Edit > Hardware Acceleration) and restart. -Emma,Family & Student Plan Eligibility & Verification,Smart Speaker & External Device Connectivity,True,2017-11-05T00:21:00
50,twcs_11006,@SpotifyCares Can I use Spotify Connect to stream across multiple speakers in different rooms at the same time?,@user_spot_504_708 Hi there! Check our smart watch setup guide here: https://spoti.fi/wearables to ensure proper offline sync setup. -Liam,Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-06T05:46:00
51,twcs_10148,@SpotifyCares Billed twice on Visa debit and revolving card subscriptions simultaneously for the same account.,@user_spot_75_243 Hi there! You can download VAT invoices directly from your Receipts page at spotify.com/account/receipts. -Chloe,"Account Login, Password & Security Access",Offline Playlists & Download Storage Management,True,2017-11-02T01:36:00
52,twcs_10234,@SpotifyCares Can I get an official PDF invoice for business accounting and corporate expense filing?,"@user_spot_118_689 Hi! Head to your Account overview at spotify.com/account, find 'Your plan', and click 'Update' next to payment details. -Ryan",Offline Playlists & Download Storage Management,"Billing, Subscriptions & Refund Inquiries",True,2017-11-02T11:40:00
53,twcs_11678,@SpotifyCares My student discount expired yesterday. Can I re-verify my student status for another year?,@user_spot_840_786 Hi! The plan manager can generate a fresh invitation link from their Account overview at spotify.com/account. -Kevin,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T12:07:00
54,twcs_11316,@SpotifyCares Spotify says my account was disabled due to suspicious activity. How do I verify my identity?,"@user_spot_659_732 Hey! We recommend going to spotify.com/account and clicking 'Sign out everywhere', then resetting your password immediately. -Emma",Family & Student Plan Eligibility & Verification,"Account Login, Password & Security Access",True,2017-11-07T17:55:00
55,twcs_10488,@SpotifyCares Streaming quality sounds muffled and low bitrate even though 'Very High Quality' is selected.,@user_spot_245_391 Hey! Turn off 'Auto adjust quality' in Audio Quality settings so it doesn't downgrade on variable connection speeds. -Chloe,Family & Student Plan Eligibility & Verification,Audio Streaming Quality & Playback Errors,True,2017-11-03T17:11:00
56,twcs_11338,@SpotifyCares Can I transfer my playlist ownership and followers to another Spotify user account?,@user_spot_670_868 Hi there! Deleted accounts can be restored within 7 days. Send us a private DM with your account details immediately! -Sarah,Family & Student Plan Eligibility & Verification,Product Feature Requests & UI Enhancements,True,2017-11-07T20:27:00
57,twcs_11276,@SpotifyCares Third party app revoked my Spotify access. How do I view and remove authorized apps on my profile?,"@user_spot_639_525 Hey! Try disconnecting and reconnecting Facebook under spotify.com/account > Apps, or reset your password using your email. -Kevin",Smart Speaker & External Device Connectivity,"Account Login, Password & Security Access",True,2017-11-07T13:14:00
58,twcs_10680,@SpotifyCares Infinite loading spinner when trying to search for songs or artist profiles on iOS 17.,@user_spot_341_599 Hello! Try deleting the Spotify AppData/cache folder or reinstalling the desktop client from spotify.com/download. -Alex,Smart Speaker & External Device Connectivity,Offline Playlists & Download Storage Management,True,2017-11-04T15:38:00
59,twcs_10914,@SpotifyCares Chromecast Audio icon missing from Spotify devices menu on local home WiFi network.,@user_spot_458_581 Hey! Make sure Spotify is set as the default music provider in your voice assistant settings. DM us if you need help! -Liam,Audio Streaming Quality & Playback Errors,Smart Speaker & External Device Connectivity,True,2017-11-05T18:58:00
60,twcs_10114,@SpotifyCares I updated my credit card details but my account is still showing payment past due and downgraded to Free.,@user_spot_58_147 Hey! We'd be glad to look into this charge. Send us a DM with your account email and we'll sort out the refund: https://spoti.fi/dm -Kevin,"Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T21:38:00
61,twcs_10522,@SpotifyCares Getting playback error code 'Spotify can't play this right now' on Windows 11.,"@user_spot_262_885 Hello! Go to Settings > Audio Quality > Normalize volume, and set Volume Level to 'Normal' or 'Quiet' to prevent clipping. -Elena","App Stability, OS Freezes & Crash Reports",Audio Streaming Quality & Playback Errors,True,2017-11-03T21:15:00
62,twcs_12008,@SpotifyCares How can I block a specific artist from playing on my Discover Weekly and Release Radar?,@user_spot_1005_703 Hey! Great suggestion. You can submit and vote on feature ideas directly on our Spotify Community Idea Board: https://spoti.fi/ideas -Daniel,Family & Student Plan Eligibility & Verification,Product Feature Requests & UI Enhancements,True,2017-11-11T02:32:00
63,twcs_10490,@SpotifyCares Audio crackling and popping sound distortion on high volume through Sony WH-1000XM4.,@user_spot_246_603 Hi! Make sure hardware acceleration is enabled in your app/browser settings and clear your cache for open.spotify.com. -Kevin,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-03T17:28:00
64,twcs_11714,@SpotifyCares High school student asking if high school IDs qualify for Spotify Student discount program.,"@user_spot_858_535 Hello! All your saved music, playlists, and listening history remain intact when switching plans! -Emma",Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T16:20:00
65,twcs_11376,@SpotifyCares Smart Shuffle keeps adding unwanted recommended songs into my downloaded offline playlist.,@user_spot_689_593 Hey! Go to Settings > Storage > Clear Cache. This clears cached data without removing your downloaded music tracks. -Chloe,Offline Playlists & Download Storage Management,Offline Playlists & Download Storage Management,True,2017-11-08T00:50:00
66,twcs_10926,@SpotifyCares Spotify Connect device list keeps disappearing and reappearing every few seconds on macOS Sonoma.,@user_spot_464_623 Hello! Try reinstalling the Spotify app on your Smart TV or clearing TV app cache from TV system settings. -Elena,Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-05T20:26:00
67,twcs_12102,@SpotifyCares Why are real-time karaoke lyrics not appearing on the web player and TV app for some tracks?,@user_spot_1052_921 Hi! We're always testing UI improvements. Make sure your app is updated to the latest version on the Play Store! -Chloe,Smart Speaker & External Device Connectivity,Product Feature Requests & UI Enhancements,True,2017-11-11T13:38:00
68,twcs_10720,@SpotifyCares App crashes when attempting to view artist about biography page with high-res photos.,"@user_spot_361_493 Hey! Send us a DM with your device model, OS version, and Spotify app version so our tech team can investigate: https://spoti.fi/dm -Sarah","App Stability, OS Freezes & Crash Reports","App Stability, OS Freezes & Crash Reports",True,2017-11-04T20:20:00
69,twcs_11150,@SpotifyCares Someone in another country accessed my account and changed my playlist names. I think I got hacked!,"@user_spot_576_472 Hi! Check your spam/junk folder, or add no-reply@spotify.com to your email whitelist. DM us your username if still missing! -Emma",Product Feature Requests & UI Enhancements,"Account Login, Password & Security Access",True,2017-11-06T22:32:00
70,twcs_10050,@SpotifyCares Cancelled my subscription last week but still got billed $16.99 today. Please check invoice #INV-6519.,@user_spot_26_362 Hi there! You can download VAT invoices directly from your Receipts page at spotify.com/account/receipts. -Alex,"Account Login, Password & Security Access",Offline Playlists & Download Storage Management,True,2017-11-01T14:07:00
71,twcs_10760,@SpotifyCares Spotify keeps crashing on macOS Ventura upon launch. Crash log generated #CR-4021.,@user_spot_381_153 Hi! Disable 'Canvas' looping visuals under Settings > Playback to reduce background battery and CPU consumption. -Liam,Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-05T00:59:00
72,twcs_11114,@SpotifyCares Accidentally clicked delete account on GDPR page. Can support restore my deleted profile?,@user_spot_558_473 Hello! Temporary lockouts reset automatically after 30 minutes. You can also reset your password at spotify.com/password-reset. -Sarah,"Account Login, Password & Security Access","Account Login, Password & Security Access",True,2017-11-06T18:12:00
73,twcs_11464,@SpotifyCares Offline songs taking up 15GB of storage even after deleting downloaded albums from library.,@user_spot_733_780 Hello! You can recover deleted playlists anytime by visiting spotify.com/account/recover-playlists! -Ryan,Offline Playlists & Download Storage Management,Offline Playlists & Download Storage Management,True,2017-11-08T11:03:00
74,twcs_10918,@SpotifyCares Spotify Connect on my HomePod mini is constantly stuttering and pausing mid-song.,@user_spot_460_754 Hello! Try reinstalling the Spotify app on your Smart TV or clearing TV app cache from TV system settings. -Ryan,Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-05T19:23:00
75,twcs_10092,@SpotifyCares Auto-renew was turned off on my account yet I was still charged $9.99 yesterday morning. Please reverse.,@user_spot_47_209 Hi! Make sure your account region matches the country where the gift card was purchased. DM us the card receipt for help! -Emma,"Account Login, Password & Security Access","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T18:59:00
76,twcs_10686,@SpotifyCares App crashes when attempting to view artist about biography page with high-res photos.,"@user_spot_344_965 Hey! Send us a DM with your device model, OS version, and Spotify app version so our tech team can investigate: https://spoti.fi/dm -Carlos","App Stability, OS Freezes & Crash Reports","App Stability, OS Freezes & Crash Reports",True,2017-11-04T16:26:00
77,twcs_12144,@SpotifyCares Can you add collaborative playlist listening sessions with friends over Discord or FaceTime?,@user_spot_1073_739 Hey! Great suggestion. You can submit and vote on feature ideas directly on our Spotify Community Idea Board: https://spoti.fi/ideas -Liam,Product Feature Requests & UI Enhancements,Product Feature Requests & UI Enhancements,True,2017-11-11T18:23:00
78,twcs_11110,@SpotifyCares Someone in another country accessed my account and changed my playlist names. I think I got hacked!,"@user_spot_556_631 Hey! We recommend going to spotify.com/account and clicking 'Sign out everywhere', then resetting your password immediately. -Alex",Product Feature Requests & UI Enhancements,"Account Login, Password & Security Access",True,2017-11-06T17:51:00
79,twcs_10692,@SpotifyCares App crashes immediately upon tapping the 'Your Library' tab on iOS 15.,@user_spot_347_333 Hello! Reinstalling the app usually fixes persistent login session drops. Send us a DM if the issue continues! -Emma,"App Stability, OS Freezes & Crash Reports","Account Login, Password & Security Access",True,2017-11-04T17:04:00
80,twcs_11866,@SpotifyCares Invitation link for Family plan says 'This invitation link has expired or reached limit'.,@user_spot_934_306 Hi! Student verification is managed via SheerID. Check document submission guidelines here: https://spoti.fi/student -Emma,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-10T10:06:00
81,twcs_11442,@SpotifyCares Downloaded local MP3 files on desktop are not syncing over WiFi to my OnePlus 11 Spotify library.,@user_spot_722_116 Hello! You can recover deleted playlists anytime by visiting spotify.com/account/recover-playlists! -Daniel,Audio Streaming Quality & Playback Errors,Offline Playlists & Download Storage Management,True,2017-11-08T08:35:00
82,twcs_11700,@SpotifyCares Family plan member moved to a new apartment in the same city. Do they get kicked off the plan?,"@user_spot_851_440 Hi! Log into spotify.com/account, select 'Manage members' under Duo/Family, and copy the new invite link to share. -Liam",Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T14:35:00
83,twcs_10406,@SpotifyCares What audio bitrate does Spotify HiFi / Very High quality stream at on desktop vs mobile?,"@user_spot_204_893 Hey! Log out and log back in to refresh account settings. If on a Family plan, the plan manager might have set restrictions. -Alex","App Stability, OS Freezes & Crash Reports",Family & Student Plan Eligibility & Verification,True,2017-11-03T07:37:00
84,twcs_10906,@SpotifyCares Voice commands on Siri voice control only play 30-second previews instead of full songs on Premium.,@user_spot_454_952 Hello! Try reinstalling the Spotify app on your Smart TV or clearing TV app cache from TV system settings. -Elena,Family & Student Plan Eligibility & Verification,Smart Speaker & External Device Connectivity,True,2017-11-05T18:02:00
85,twcs_10832,@SpotifyCares Can't connect Spotify to Kenwood receiver via Bluetooth auto-connect.,@user_spot_417_957 Hey! Make sure Spotify is set as the default music provider in your voice assistant settings. DM us if you need help! -Emma,Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-05T09:21:00
86,twcs_12028,@SpotifyCares When is Spotify HiFi 24-bit lossless streaming audio going to be released?,@user_spot_1015_466 Hey! Send us a DM if your Daily Mix or Discover Weekly playlists are stuck so we can refresh your cache! -Liam,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-11T04:53:00
87,twcs_10898,@SpotifyCares Fire TV app gets stuck on loading logo when launching Spotify Connect from phone.,@user_spot_450_674 Hey! Unlink and re-link your Spotify account in the Alexa/Google Home companion app to refresh the token. -Ryan,Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-05T17:01:00
88,twcs_11576,@SpotifyCares Playlist folder structure disappeared and all playlists are now unorganized in one huge list.,@user_spot_789_212 Hey! Go to Settings > Storage > Clear Cache. This clears cached data without removing your downloaded music tracks. -Sarah,Family & Student Plan Eligibility & Verification,Offline Playlists & Download Storage Management,True,2017-11-09T00:11:00
89,twcs_11456,@SpotifyCares Reordering tracks inside a custom playlist doesn't sync across desktop and mobile apps.,"@user_spot_729_876 Hi! Check Settings > Storage > Storage location, and select your SD Card. Ensure app permissions allow storage access. -Alex",Product Feature Requests & UI Enhancements,Offline Playlists & Download Storage Management,True,2017-11-08T10:16:00
90,twcs_11304,@SpotifyCares Third party app revoked my Spotify access. How do I view and remove authorized apps on my profile?,"@user_spot_653_461 Hey! Try disconnecting and reconnecting Facebook under spotify.com/account > Apps, or reset your password using your email. -Liam",Smart Speaker & External Device Connectivity,"Account Login, Password & Security Access",True,2017-11-07T16:27:00
