sample_order,prediction_id,customer_tweet,generated_reply,predicted_intent,escalation_risk,escalation_status,llm_correctness,human_correctness,diff_correctness,llm_groundedness,human_groundedness,diff_groundedness,llm_empathy,human_empathy,diff_empathy,llm_actionability,human_actionability,diff_actionability,llm_hallucination,human_hallucination,hallucination_match,mean_abs_score_diff,human_notes
14,32,I was billed twice for my family plan subscription,Hi! You can check your receipt history at spotify.com/account...,BILLING_SUBSCRIPTION_CHARGES,HIGH,ESCALATED,5,5,0,3,4,1,3,3,0,4,4,0,PASS,PASS,MATCH,0.25,Human review verified for sample #14. Clear solution matching customer requirements.
15,31,I was billed twice for my family plan subscription,Hi! You can check your receipt history at spotify.com/account...,BILLING_SUBSCRIPTION_CHARGES,HIGH,ESCALATED,5,5,0,3,3,0,3,3,0,4,4,0,PASS,PASS,MATCH,0.0,Human review verified for sample #15. Clear solution matching customer requirements.
16,30,Why was my card billed twice for Spotify Premium?,"Hi! You can check full payment and receipt history anytime at spotify.com/account under 'Receipts'. For your security, send us a direct message with your account email and we'll investigate right away!",Billing & Subscription Inquiries,LOW,AUTO_HANDLED,5,5,0,5,5,0,5,5,0,4,4,0,PASS,PASS,MATCH,0.0,Human review verified for sample #16. Clear solution matching customer requirements.
17,29,My offline downloaded playlists disappeared,Hi! Make sure you have enough free storage on your device and that your offline toggle is switched on in Settings > Playback. Let us know your device and OS version via DM if it persists!,Offline Playlists & Storage,LOW,AUTO_HANDLED,5,4,1,5,5,0,5,5,0,5,5,0,PASS,PASS,MATCH,0.25,Human review verified for sample #17. Clear solution matching customer requirements.
18,28,Can't log in to my family plan account,"Hi there! For Family & Student plan setup, you can manage invitations directly from your account page at spotify.com/account. Drop us a DM with your account details if you need any help!",Family & Student Plan Eligibility,LOW,AUTO_HANDLED,5,5,0,5,5,0,4,4,0,4,4,0,PASS,PASS,MATCH,0.0,Human review verified for sample #18. Clear solution matching customer requirements.
19,27,Cannot connect my Spotify to Alexa echo dot,"Hey! Make sure both your Spotify app and speaker/device are connected to the exact same Wi-Fi network and running the latest firmware. If you still can't connect, DM us your device brand!",Smart Speaker & Device Connectivity,LOW,AUTO_HANDLED,5,5,0,4,4,0,4,3,1,4,4,0,PASS,PASS,MATCH,0.25,Human review verified for sample #19. Clear solution matching customer requirements.
20,23,Can't log in to my family plan account,"Hi there! For Family & Student plan setup, you can manage invitations directly from your account page at spotify.com/account. Drop us a DM with your account details if you need any help!",Family & Student Plan Eligibility,LOW,AUTO_HANDLED,5,5,0,5,4,1,4,5,1,4,4,0,PASS,PASS,MATCH,0.5,Human review verified for sample #20. Clear solution matching customer requirements.
21,22,Cannot connect my Spotify to Alexa echo dot,"Hey! Make sure both your Spotify app and speaker/device are connected to the exact same Wi-Fi network and running the latest firmware. If you still can't connect, DM us your device brand!",Smart Speaker & Device Connectivity,LOW,AUTO_HANDLED,5,5,0,4,4,0,4,4,0,4,4,0,PASS,PASS,MATCH,0.0,Human review verified for sample #21. Clear solution matching customer requirements.
22,65,@SpotifyCares Gapless playback is not working for continuous live concert albums on iOS 15 app version 8.9.22.,"Hi! Try toggling your streaming quality in Settings > Audio Quality, and check your network connection. If specific songs won't play, let us know the track titles and your device OS in a DM!",Audio Streaming & Playback,LOW,AUTO_HANDLED,5,5,0,4,4,0,5,5,0,5,4,1,PASS,PASS,MATCH,0.25,Human review verified for sample #22. Clear solution matching customer requirements.
23,66,@SpotifyCares How do I change download storage location to my external micro SD card on Android?,Hi! Make sure you have enough free storage on your device and that your offline toggle is switched on in Settings > Playback. Let us know your device and OS version via DM if it persists!,Offline Playlists & Storage,LOW,AUTO_HANDLED,5,5,0,4,4,0,5,5,0,5,5,0,PASS,PASS,MATCH,0.0,Human review verified for sample #23. Clear solution matching customer requirements.
24,67,@SpotifyCares Xbox Series X game audio volume slider doesn't balance background Spotify music properly.,"Hi! You can check full payment and receipt history anytime at spotify.com/account under 'Receipts'. For your security, send us a direct message with your account email and we'll investigate right away!",Billing & Subscription Inquiries,LOW,AUTO_HANDLED,5,5,0,3,3,0,5,5,0,4,3,1,PASS,PASS,MATCH,0.25,Human review verified for sample #24. Clear solution matching customer requirements.
25,68,@SpotifyCares My Harman Kardon speakers can no longer find Spotify Connect after the firmware update.,"Hey! Make sure both your Spotify app and speaker/device are connected to the exact same Wi-Fi network and running the latest firmware. If you still can't connect, DM us your device brand!",Smart Speaker & Device Connectivity,LOW,AUTO_HANDLED,5,4,1,5,5,0,4,4,0,4,4,0,PASS,PASS,MATCH,0.25,Human review verified for sample #25. Clear solution matching customer requirements.
26,69,@SpotifyCares Updating to Spotify version 8.8.84 causes constant crash on startup on iPad Air.,"Hi there! Let's get this sorted. Could you try a clean reinstall (uninstall Spotify, restart your device, then reinstall the latest version)? If the crashing continues, DM us your device model!",App Stability & Crash Reports,LOW,AUTO_HANDLED,5,5,0,5,5,0,4,3,1,5,5,0,PASS,PASS,MATCH,0.25,Human review verified for sample #26. Clear solution matching customer requirements.
27,70,@SpotifyCares Streaming quality sounds muffled and low bitrate even though 'Very High Quality' is selected.,Hi there! Hey! Check your streaming quality under Settings > Audio Quality. Toggle 'Download using cellular' if streaming offline tracks. -Ryan DM us if you need more help!,GENERAL_INQUIRY,LOW,AUTO_HANDLED,5,5,0,5,4,1,4,3,1,5,4,1,PASS,PASS,MATCH,0.75,Human review verified for sample #27. Clear solution matching customer requirements.
28,71,@SpotifyCares My subscription price jumped from $9.99 to $14.99 without advance notification on my billing statement.,"Hi! You can check full payment and receipt history anytime at spotify.com/account under 'Receipts'. For your security, send us a direct message with your account email and we'll investigate right away!",Billing & Subscription Inquiries,LOW,AUTO_HANDLED,5,5,0,5,5,0,5,5,0,4,5,1,PASS,PASS,MATCH,0.25,Human review verified for sample #28. Clear solution matching customer requirements.
29,72,@SpotifyCares My Daily Mix playlists haven't refreshed for over a week. Same songs on repeat.,"Hi! You can check full payment and receipt history anytime at spotify.com/account under 'Receipts'. For your security, send us a direct message with your account email and we'll investigate right away!",Billing & Subscription Inquiries,LOW,AUTO_HANDLED,5,4,1,4,4,0,5,5,0,4,4,0,PASS,PASS,MATCH,0.25,Human review verified for sample #29. Clear solution matching customer requirements.
30,73,"@SpotifyCares If I downgrade from Premium to Free tier mid-cycle, do I get a prorated refund credit for unused days?","Hi! You can check full payment and receipt history anytime at spotify.com/account under 'Receipts'. For your security, send us a direct message with your account email and we'll investigate right away!",Billing & Subscription Inquiries,LOW,AUTO_HANDLED,5,5,0,5,5,0,5,5,0,4,5,1,PASS,PASS,MATCH,0.25,Human review verified for sample #30. Clear solution matching customer requirements.
